@relation training

@attribute feat_1 numeric
@attribute feat_2 numeric
@attribute class {class_1,class_2,class_3}

@data
-7.491731,3.542586,class_1
-7.529518,3.327847,class_1
-7.78212,3.685084,class_1
-2.600997,0.905995,class_2
-2.5187,0.570824,class_2
-2.093147,0.723225,class_2
-1.981278,0.747229,class_2
-2.436365,0.549911,class_2
-1.809032,0.681477,class_2
-2.926982,0.085575,class_1
-5.206167,0.111234,class_1
-7.645036,0.090427,class_1
-7.581156,0.097803,class_1
-7.59644,0.095981,class_1
-3.207373,0.10966,class_1
-3.415865,0.894417,class_1
-3.264301,0.895659,class_1
-2.76832,0.949125,class_1
-3.526278,0.883661,class_1
-1.929843,0.866583,class_1
-3.497758,0.865771,class_1
-1.22107,0.902753,class_3
-1.352535,0.937936,class_3
-1.461342,0.844043,class_3
-1.64995,0.880433,class_3
-1.331906,0.836993,class_3
-1.620948,0.934204,class_3
-1.635615,1.462803,class_3
-1.765746,1.369357,class_3
-1.711691,1.290203,class_3
-1.853728,1.471914,class_3
-1.78721,1.341324,class_3
-1.69058,1.412373,class_3
-1.909061,0.991228,class_3
-1.949688,0.801009,class_3
-2.134752,0.667,class_3
-1.96936,0.807002,class_3
-1.745935,0.832166,class_3
-1.801195,0.924506,class_3
-1.489304,0.106777,class_3
0.068337,0.098123,class_3
0.129985,0.124394,class_3
-2.098718,0.131337,class_3
3.101285,0.102055,class_3
2.510101,0.109842,class_3
5.650566,0.133151,class_1
2.252257,0.126899,class_1
1.583158,0.321738,class_1
3.570229,0.832527,class_1
1.996864,0.10944,class_1
-7.546385,2.032237,class_1
-7.69403,2.464152,class_1
-7.442116,2.295126,class_1
-7.502198,2.523148,class_1
-7.725966,2.370209,class_1
-7.578703,2.015503,class_1
0.016621,0.088324,class_1
-0.676796,0.074807,class_1
-1.004023,0.074936,class_1
-1.132794,0.070122,class_1
-1.227925,0.069665,class_1
-1.518636,0.094003,class_1
-3.063031,1.690844,class_1
-3.010864,1.988405,class_1
-3.715427,1.502699,class_1
-3.726621,1.486618,class_1
-3.824945,1.519573,class_1
0.86353,0.524825,class_1
3.343129,0.671159,class_2
3.739494,0.782621,class_2
3.501504,0.671898,class_2
2.45973,0.724822,class_2
3.546522,0.731055,class_2
3.108549,0.583021,class_2
-2.401629,0.122316,class_1
-2.36929,0.144012,class_1
-2.494075,0.13787,class_1
-2.19245,0.12948,class_1
-3.140067,0.073325,class_1
-2.635514,0.100729,class_1
-0.76679,1.034997,class_1
-0.80008,0.860853,class_1
-0.386401,0.799557,class_1
-0.004296,1.130565,class_1
-0.837262,0.88412,class_1
-0.725816,0.447522,class_1
7.875257,1.953068,class_3
7.727416,2.137559,class_3
7.526558,1.56034,class_3
7.320799,1.825302,class_3
7.147428,1.55583,class_3
8.013478,1.632325,class_3
7.607084,1.360727,class_3
7.500577,1.454923,class_3
7.436183,1.240288,class_3
7.601162,1.112386,class_3
6.929629,0.41418,class_3
-0.193476,0.089844,class_3
-0.071014,0.0962,class_3
-0.235044,0.096283,class_3
-0.227369,0.098931,class_3
-0.451358,0.105651,class_3
-0.580439,0.089009,class_3
-2.782523,0.128346,class_1
-3.830394,0.239416,class_1
-2.76799,0.135502,class_1
-4.049087,0.262372,class_1
-1.499189,0.102018,class_1
-1.318263,0.077036,class_1
-3.074178,0.787172,class_1
-3.150226,0.740039,class_1
-3.412789,0.586627,class_1
-3.750231,0.989583,class_1
-4.147908,0.488196,class_1
-3.080206,0.438411,class_1
2.281807,0.086968,class_1
2.385028,0.109348,class_1
1.855462,0.119544,class_1
1.79562,0.132381,class_1
2.875414,0.10909,class_1
1.850483,0.118781,class_1
-1.1982,5.334194,class_1
-0.793925,3.848856,class_1
-0.833602,3.273704,class_1
-0.481583,3.626292,class_1
-0.602144,3.639275,class_1
-0.041679,3.958106,class_1
-1.460821,0.198339,class_1
-2.195469,0.286256,class_1
-2.064567,0.259714,class_1
-2.006439,0.309431,class_1
-1.528836,0.163588,class_1
-2.266745,0.11251,class_1
-2.653931,0.81407,class_1
-1.2457,0.94365,class_1
-2.288096,0.846168,class_1
0.265291,1.136968,class_1
-2.523529,0.568451,class_1
-1.909587,1.215452,class_1
6.643831,1.256341,class_3
8.459887,2.404629,class_3
